user,notuser,platform,reason,usageprice,payment,usagetime,environment,im_price,im_event,im_genre,im_design,im_like,im_famous,im_believe,im_service,satis_price,event,genre,design,like,famous,believe,service,all_satis,th_price,th_event,th_genre,th_design,th_like,th_famous,th_belive,th_service,pay_service,like_pay,sub_use,gender,age,marriage,job,userincome
1,,2,1,2,1,2,4,4,5,5,4,4,4,4,5,4,2,5,5,5,5,5,2,4,4,4,2,2,2,1,2,4,4,1,1,1,1,1,2,1
1,,2,1,2,1,2,1,4,4,5,5,4,5,4,1,4,4,4,4,3,5,4,3,4,2,1,2,1,5,1,5,1,3,1,1,1,2,1,2,1
1,,1,1,3,1,1,4,4,2,3,4,3,4,3,2,3,2,3,2,3,4,4,3,4,1,4,4,1,1,1,1,4,4,2,1,1,2,1,2,1
1,,1,2,2,1,1,4,4,2,3,4,2,1,3,2,3,2,3,4,4,4,4,4,4,1,3,1,1,2,1,1,1,3,1,1,1,1,1,2,2
1,,1,1,1,1,1,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1,1,1,1,4,1,2,1,1,1,2,1
1,,4,2,5,3,3,4,4,4,3,5,4,4,5,5,3,4,3,3,3,4,3,5,4,4,4,4,1,4,1,4,4,4,1,1,1,2,1,2,1
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,2,1,3,1,4,4,5,3,4,3,4,2,4,1,4,4,5,5,5,5,4,4,4,2,2,1,1,1,4,5,1,1,1,1,1,2,1
1,,4,3,5,3,3,3,4,4,5,4,4,4,5,5,4,2,3,2,2,2,2,3,3,1,4,3,5,4,4,5,5,3,1,2,1,2,1,3,3
1,,1,1,3,1,3,4,5,4,5,2,1,1,4,2,2,2,4,2,5,5,5,3,2,4,4,2,2,2,1,1,4,3,1,2,2,1,1,2,1
1,,1,1,3,1,3,4,5,4,5,2,1,1,4,2,2,2,4,2,5,5,5,3,2,4,4,2,2,2,1,1,4,3,1,2,2,1,1,2,1
1,,2,1,2,1,2,4,5,4,4,3,3,4,3,2,3,4,4,3,2,5,3,2,3,5,4,1,2,2,1,1,4,3,1,2,1,1,1,2,1
1,,1,1,2,1,3,2,4,2,4,4,3,3,3,1,4,3,4,4,3,3,3,3,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2
2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,3,1,3,4,5,4,5,2,1,1,4,2,2,2,4,2,5,5,5,3,2,4,4,2,2,2,1,1,4,3,1,2,2,1,1,2,1
2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,2,5,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4,1,3,1,3,3,5,5,5,4,4,4,4,4,4,5,5,2,4,5,4,5,5,4,4,2,2,1,1,1,4,5,1,1,2,1,1,2,1
1,,1,1,1,1,1,1,4,3,2,4,4,4,4,2,4,2,4,4,4,4,4,4,5,1,3,1,3,1,1,1,4,5,1,2,1,1,1,2,1
1,,1,1,2,1,2,3,4,4,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,1,2,3,1,1,1,1,4,2,2,2,1,1,1,3,3
1,,1,1,2,1,2,3,4,4,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,1,2,3,1,1,1,1,4,2,2,2,1,1,1,3,3
1,,1,1,2,1,2,3,4,4,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,1,2,3,1,1,1,1,4,2,2,2,1,1,1,3,3
1,,2,4,5,1,5,4,4,3,5,5,4,4,4,2,4,3,5,5,5,5,5,3,5,4,4,2,2,2,1,2,4,5,1,1,1,2,1,2,1
1,,4,2,1,1,1,1,4,5,5,3,3,2,3,4,4,5,4,4,4,4,4,5,4,4,4,1,4,1,1,1,1,3,1,2,1,1,1,2,1
